No.	NAME	nCIC	nCIR	TRS	Rperim	Rbrid	MCD	RFD	RCI	NRS	NNRS	nSpiro	nBridgeHead	nR03	nR04	nR05	nR06	nR07	nR08	nR09	nR10	nR11	nR12	nBnz	ARR	AP	D/Dtr03	D/Dtr04	D/Dtr05	D/Dtr06	D/Dtr07	D/Dtr08	D/Dtr09	D/Dtr10	D/Dtr11	D/Dtr12
1476	Molecule1476	9	21	52	40	6	0.826086956521739	0.315789473684211	1.36842105263158	1	0.111111111111111	1	0	0	0	2	7	0	0	4	2	0	0	2	0.222222222222222	0.260869565217391	0	0	97.1348371787767	494.915584167131	0	0	374.67161467007	238.181265849434	0	0
1477	Molecule1477	9	21	52	40	6	0.863636363636364	0.315789473684211	1.36842105263158	1	0.111111111111111	1	0	0	0	2	7	0	0	4	2	0	0	0	0	0	0	0	89.7770543842292	458.209821316815	0	0	347.126649694564	218.3196987467	0	0
1478	Molecule1478	9	21	52	40	6	0.826086956521739	0.315789473684211	1.36842105263158	1	0.111111111111111	1	0	0	0	2	7	0	0	4	2	0	0	2	0.222222222222222	0.260869565217391	0	0	97.1348371787767	494.915584167131	0	0	374.67161467007	238.181265849434	0	0
1479	Molecule1479	15	24	85	73	6	1	0.169014084507042	1.19718309859155	7	0.466666666666667	1	0	0	0	5	10	0	2	4	0	0	2	6	0.423529411764706	0.507042253521127	0	0	486.181455376529	1396.35524582801	0	323.651802884975	739.404867950777	0	0	521.378171445322
1480	Molecule1480	14	21	79	69	5	0.985294117647059	0.149253731343284	1.17910447761194	7	0.5	1	0	0	0	5	9	0	2	3	0	0	2	6	0.444444444444444	0.529411764705882	0	0	486.223616154489	1268.22924995954	0	318.610625566459	578.423439356842	0	0	512.810746053899
1481	Molecule1481	13	19	74	66	4	0.96969696969697	0.125	1.15625	7	0.538461538461538	1	0	0	0	4	9	0	2	2	0	0	2	6	0.461538461538462	0.545454545454545	0	0	386.052273312007	1257.86020425681	0	316.586071620233	382.525996641244	0	0	508.48158074896
1482	Molecule1482	7	13	40	32	4	0.652173913043478	0.266666666666667	1.33333333333333	1	0.142857142857143	1	0	0	0	2	5	0	0	4	0	0	0	0	0	0	0	0	126.248244550353	434.528789391611	0	0	492.088978206849	0	0	0
1483	Molecule1483	8	15	45	35	5	0.6875	0.303030303030303	1.36363636363636	1	0.125	1	0	0	0	3	5	0	0	5	0	0	0	0	0	0	0	0	194.231780029321	434.941287471446	0	0	632.431831354733	0	0	0
1484	Molecule1484	13	33	74	58	8	0.96551724137931	0.285714285714286	1.32142857142857	3	0.230769230769231	1	0	0	0	4	9	0	2	4	2	0	4	6	0.514285714285714	0.620689655172414	0	0	227.906641305423	772.978814453737	0	185.161540493856	448.478048911485	254.212728204866	0	590.894488593773
1485	Molecule1485	14	29	81	65	8	1	0.253968253968254	1.28571428571429	4	0.285714285714286	1	0	0	0	3	11	0	0	5	3	0	0	6	0.473684210526316	0.571428571428571	0	0	203.695829199164	1080.53925209164	0	0	637.892569722252	473.292077889014	0	0
1486	Molecule1486	14	29	81	65	8	0.940298507462687	0.253968253968254	1.28571428571429	4	0.285714285714286	1	0	0	0	3	11	0	0	5	3	0	0	6	0.45	0.537313432835821	0	0	221.060091427703	1174.81161130101	0	0	694.852661925737	515.945584096489	0	0
1487	Molecule1487	17	29	96	80	8	0.863636363636364	0.210526315789474	1.26315789473684	5	0.294117647058824	2	0	0	1	4	12	0	0	8	0	0	0	4	0.230769230769231	0.272727272727273	0	124.355835375495	549.688341148502	2264.56110245919	0	0	2061.91386174787	0	0	0
1488	Molecule1488	15	30	84	64	10	0.939393939393939	0.32258064516129	1.35483870967742	3	0.2	1	0	0	0	6	9	0	1	9	0	0	1	4	0.4375	0.46969696969697	0	0	524.274372831462	1019.06519392267	0	140.342779617811	1501.0558062847	0	0	221.598448470672
1489	Molecule1489	15	30	84	64	10	1	0.32258064516129	1.35483870967742	3	0.2	1	0	0	0	6	9	0	1	9	0	0	1	4	0.460526315789474	0.5	0	0	481.908850632352	941.252298146577	0	126.715739990771	1386.58842003141	0	0	197.89110581333
1490	Molecule1490	9	21	50	38	6	0.857142857142857	0.333333333333333	1.38888888888889	1	0.111111111111111	1	0	0	0	4	5	0	0	6	0	0	2	0	0.2	0.238095238095238	0	0	208.673417466309	313.158135442754	0	0	541.334229444225	0	0	248.584619413583
1491	Molecule1491	9	21	50	38	6	0.857142857142857	0.333333333333333	1.38888888888889	1	0.111111111111111	1	0	0	0	4	5	0	0	6	0	0	2	0	0.2	0.238095238095238	0	0	208.369962102534	314.817791562708	0	0	542.607703829565	0	0	248.756686834813
1492	Molecule1492	10	38	54	34	10	0.673076923076923	0.571428571428571	1.54285714285714	1	0.1	1	0	0	0	6	4	0	4	6	2	2	4	0	0.0819672131147541	0.0961538461538462	0	0	328.514053885251	296.229699258865	0	350.589943516128	641.826437734977	235.101407412237	246.101249464515	564.822027817075
1493	Molecule1493	12	34	68	46	11	1	0.478260869565217	1.47826086956522	1	0.0833333333333333	1	0	0	0	4	8	0	1	7	4	1	2	1	0.175438596491228	0.195652173913043	0	0	174.534940250523	486.668632193639	0	73.6517786991175	592.326793752041	410.401292123919	111.299930520088	240.14525685875
1494	Molecule1494	12	34	68	46	11	1	0.478260869565217	1.47826086956522	1	0.0833333333333333	1	0	0	0	4	8	0	1	7	4	1	2	1	0.175438596491228	0.195652173913043	0	0	170.325902301697	470.872644101191	0	71.3418890804348	580.288332586587	396.438160749258	108.236247236577	233.481379548321
